sent_id	id	form	lemma	upos	gold_head	pred_head	gold_deprel	pred_deprel	head_ok	rel_ok	las_ok	attachment_only_error	label_only_error	both_error	gold_head_dist	pred_head_dist	head_distance_delta
MooreFP1994:0:0:7	1	Aikwé	aikwé	PART	0	0	root	root	True	True	True	False	False	False	1	1	0
MooreFP1994:0:0:7	2	kaxuwera	kaxuwera	NOUN	1	1	nsubj	nsubj	True	True	True	False	False	False	1	1	0
MooreFP1994:0:0:7	3	.	.	PUNCT	1	1	punct	punct	True	True	True	False	False	False	2	2	0
MooreFP1994:0:0:16	1	Ayururé	yururé	VERB	0	0	root	root	True	True	True	False	False	False	1	1	0
MooreFP1994:0:0:16	2	se	se	PRON	3	3	nmod:poss	nmod:poss	True	True	True	False	False	False	1	1	0
MooreFP1994:0:0:16	3	manha	manha	NOUN	1	1	iobj	obj	True	False	False	False	True	False	2	2	0
MooreFP1994:0:0:16	4	upitá	pitá	VERB	1	1	ccomp	advcl	True	False	False	False	True	False	3	3	0
MooreFP1994:0:0:16	5	arama	arama	SCONJ	4	4	mark	mark	True	True	True	False	False	False	1	1	0
MooreFP1994:0:0:16	6	yané	yané	PRON	7	7	nmod:poss	nmod:poss	True	True	True	False	False	False	1	1	0
MooreFP1994:0:0:16	7	rendawa	tendawa	NOUN	4	4	obl	obl	True	True	True	False	False	False	3	3	0
MooreFP1994:0:0:16	8	upé	upé	ADP	7	7	case	case	True	True	True	False	False	False	1	1	0
MooreFP1994:0:0:16	9	se	se	PRON	10	10	nmod:poss	nmod:poss	True	True	True	False	False	False	1	1	0
MooreFP1994:0:0:16	10	ratiwa	tatiwa	NOUN	11	4	nsubj	obj	False	False	False	False	False	True	1	6	-7
MooreFP1994:0:0:16	11	uxari	xari	VERB	7	10	acl:relcl	acl:relcl	False	True	False	True	False	False	4	1	3
MooreFP1994:0:0:16	12	waá	waá	PRON	11	11	obj	obj	True	True	True	False	False	False	1	1	0
MooreFP1994:0:0:16	13	yandé	yandé	PRON	11	11	iobj	iobj	True	True	True	False	False	False	2	2	0
MooreFP1994:0:0:16	14	arã	arã	ADP	13	13	case	case	True	True	True	False	False	False	1	1	0
MooreFP1994:0:0:16	15	.	.	PUNCT	1	1	punct	punct	True	True	True	False	False	False	14	14	0
MooreFP1994:0:0:27	1	Asika	sika	VERB	5	5	advcl	advcl	True	True	True	False	False	False	4	4	0
MooreFP1994:0:0:27	2	ramé	ramé	SCONJ	1	1	mark	mark	True	True	True	False	False	False	1	1	0
MooreFP1994:0:0:27	3	se	se	PRON	4	4	nmod:poss	nmod:poss	True	True	True	False	False	False	1	1	0
MooreFP1994:0:0:27	4	mbira-itá	mbira	NOUN	5	1	nsubj	obj	False	False	False	False	False	True	1	3	-4
MooreFP1994:0:0:27	5	ukiri	kiri	VERB	0	0	root	root	True	True	True	False	False	False	5	5	0
MooreFP1994:0:0:27	6	ana	ana	PART	5	5	advmod	advmod	True	True	True	False	False	False	1	1	0
MooreFP1994:0:0:27	7	uikú	ikú	AUX	5	5	aux	aux	True	True	True	False	False	False	2	2	0
MooreFP1994:0:0:27	8	.	.	PUNCT	5	5	punct	punct	True	True	True	False	False	False	3	3	0
MooreFP1994:1:2:29	1	Ixé	ixé	PRON	6	6	nsubj	nsubj	True	True	True	False	False	False	5	5	0
MooreFP1994:1:2:29	2	akayú	akayú	NOUN	3	6	reparandum	obj	False	False	False	False	False	True	1	4	3
MooreFP1994:1:2:29	3	nove	nove	NUM	4	4	nummod	nummod	True	True	True	False	False	False	1	1	0
MooreFP1994:1:2:29	4	akayú	akayú	NOUN	6	6	obl	obl	True	True	True	False	False	False	2	2	0
MooreFP1994:1:2:29	5	ana	ana	PART	6	6	advmod	advmod	True	True	True	False	False	False	1	1	0
MooreFP1994:1:2:29	6	ayuíri	yuíri	VERB	0	0	root	root	True	True	True	False	False	False	6	6	0
MooreFP1994:1:2:29	7	se	se	PRON	8	8	nmod:poss	nmod:poss	True	True	True	False	False	False	1	1	0
MooreFP1994:1:2:29	8	retama	tetama	NOUN	6	6	obl	obl	True	True	True	False	False	False	2	2	0
MooreFP1994:1:2:29	9	suí	suí	ADP	8	8	case	case	True	True	True	False	False	False	1	1	0
MooreFP1994:1:2:29	10	.	.	PUNCT	6	6	punct	punct	True	True	True	False	False	False	4	4	0
MooreFP1994:1:7:34	1	Mayé	mayé	ADV	5	5	advmod	advmod	True	True	True	False	False	False	4	4	0
