pair	gold_file	pred_file	sent_id	id	form	lemma	upos	gold_head	pred_head	gold_deprel	pred_deprel	head_ok	rel_ok	las_ok	attachment_only_error	label_only_error	both_error	gold_head_dist	pred_head_dist	head_distance_delta
fold-1	test-1.conllu	test-1.out.conllu	MooreFP1994:1:4:31	1	Ixé	ixé	PRON	3	3	nsubj	nsubj	True	True	True	False	False	False	2	2	0
fold-1	test-1.conllu	test-1.out.conllu	MooreFP1994:1:4:31	2	ti	ti	PART	3	3	advmod	advmod	True	True	True	False	False	False	1	1	0
fold-1	test-1.conllu	test-1.out.conllu	MooreFP1994:1:4:31	3	amanduári	manduári	VERB	0	0	root	root	True	True	True	False	False	False	3	3	0
fold-1	test-1.conllu	test-1.out.conllu	MooreFP1994:1:4:31	4	ayuíri	yuíri	VERB	3	3	ccomp	xcomp	True	False	False	False	True	False	1	1	0
fold-1	test-1.conllu	test-1.out.conllu	MooreFP1994:1:4:31	5	se	se	PRON	6	6	nmod:poss	nmod:poss	True	True	True	False	False	False	1	1	0
fold-1	test-1.conllu	test-1.out.conllu	MooreFP1994:1:4:31	6	família-itá	família	NOUN	7	7	nmod:poss	nmod:poss	True	True	True	False	False	False	1	1	0
fold-1	test-1.conllu	test-1.out.conllu	MooreFP1994:1:4:31	7	ruka	uka	NOUN	4	4	obl	obl	True	True	True	False	False	False	3	3	0
fold-1	test-1.conllu	test-1.out.conllu	MooreFP1994:1:4:31	8	kití	kití	ADP	7	7	case	case	True	True	True	False	False	False	1	1	0
fold-1	test-1.conllu	test-1.out.conllu	MooreFP1994:1:4:31	9	.	.	PUNCT	3	3	punct	punct	True	True	True	False	False	False	6	6	0
fold-1	test-1.conllu	test-1.out.conllu	MooreFP1994:1:6:33	1	Apitá	pitá	VERB	0	0	root	root	True	True	True	False	False	False	1	1	0
fold-1	test-1.conllu	test-1.out.conllu	MooreFP1994:1:6:33	2	kurí	kurí	PART	1	1	advmod	advmod	True	True	True	False	False	False	1	1	0
fold-1	test-1.conllu	test-1.out.conllu	MooreFP1994:1:6:33	3	iké	iké	ADV	1	1	advmod	advmod	True	True	True	False	False	False	2	2	0
fold-1	test-1.conllu	test-1.out.conllu	MooreFP1994:1:6:33	4	até	até	SCONJ	9	9	mark	mark	True	True	True	False	False	False	5	5	0
fold-1	test-1.conllu	test-1.out.conllu	MooreFP1994:1:6:33	5	ku	ku	PART	9	9	advmod	advmod	True	True	True	False	False	False	4	4	0
fold-1	test-1.conllu	test-1.out.conllu	MooreFP1994:1:6:33	6	mairamé	mairamé	ADV	9	9	advmod	advmod	True	True	True	False	False	False	3	3	0
fold-1	test-1.conllu	test-1.out.conllu	MooreFP1994:1:6:33	7	Tupana-itá	tupana	NOUN	9	9	nsubj	nsubj	True	True	True	False	False	False	2	2	0
fold-1	test-1.conllu	test-1.out.conllu	MooreFP1994:1:6:33	8	kurí	kurí	PART	9	9	advmod	advmod	True	True	True	False	False	False	1	1	0
fold-1	test-1.conllu	test-1.out.conllu	MooreFP1994:1:6:33	9	ukwá	kwá	VERB	1	1	advcl	advcl	True	True	True	False	False	False	8	8	0
fold-1	test-1.conllu	test-1.out.conllu	MooreFP1994:1:6:33	10	.	.	PUNCT	1	1	punct	punct	True	True	True	False	False	False	9	9	0
fold-1	test-1.conllu	test-1.out.conllu	Alencar2021:0:0:6	1	Kunhã	kunhã	NOUN	2	2	nsubj	nsubj	True	True	True	False	False	False	1	1	0
fold-1	test-1.conllu	test-1.out.conllu	Alencar2021:0:0:6	2	puranga	puranga	ADJ	0	0	root	root	True	True	True	False	False	False	2	2	0
fold-1	test-1.conllu	test-1.out.conllu	Alencar2021:0:0:6	3	.	.	PUNCT	2	2	punct	punct	True	True	True	False	False	False	1	1	0
fold-1	test-1.conllu	test-1.out.conllu	Alencar2021:0:0:7	1	Kunhã	kunhã	NOUN	2	2	nsubj	nsubj	True	True	True	False	False	False	1	1	0
fold-1	test-1.conllu	test-1.out.conllu	Alencar2021:0:0:7	2	puranga	puranga	ADJ	0	0	root	root	True	True	True	False	False	False	2	2	0
fold-1	test-1.conllu	test-1.out.conllu	Alencar2021:0:0:7	3	uikú	ikú	AUX	2	2	cop	cop	True	True	True	False	False	False	1	1	0
fold-1	test-1.conllu	test-1.out.conllu	Alencar2021:0:0:7	4	.	.	PUNCT	2	2	punct	punct	True	True	True	False	False	False	2	2	0
