gold_deprel	pred_deprel	count
nsubj	obj	169
obj	nsubj	140
root	parataxis	83
expl	nsubj	59
obj	nmod:poss	57
advcl	root	57
nsubj	nmod:poss	55
ccomp	parataxis	55
advcl	parataxis	45
xcomp	parataxis	45
root	nsubj	45
dislocated	nsubj	44
conj	parataxis	43
obl	nsubj	42
iobj	obl	41
obl	obj	38
nmod:poss	nsubj	34
parataxis	ccomp	33
nmod:poss	obj	33
nsubj	root	32
parataxis	xcomp	31
nmod	obl	30
obl	iobj	30
cop	aux	29
root	advmod	27
vocative	nsubj	24
xcomp	ccomp	24
acl:relcl	parataxis	24
parataxis	root	23
acl:relcl	root	23
nsubj	expl	23
ccomp	root	22
conj	nsubj	21
xcomp	obj	19
ccomp	advmod	19
ccomp	xcomp	18
root	advcl	17
advcl	ccomp	17
iobj	obj	16
amod	root	15
conj	obl	15
ccomp	obj	15
parataxis	advmod	15
appos	nsubj	14
conj	obj	13
ccomp	advcl	12
obj	obl	12
advmod	root	12
csubj	parataxis	12
vocative	obj	11
parataxis	nsubj	11
nsubj	obl	11
nmod	nsubj	11
acl:relcl	obl	10
obl	nmod:poss	10
root	obj	10
ccomp	obl	9
fixed	case	9
acl:relcl	ccomp	9
root	amod	8
root	obl	8
conj	advcl	8
advcl:relcl	acl:relcl	8
xcomp	root	8
nmod	obj	8
det	nsubj	8
ccomp	nsubj	8
parataxis	obl	8
parataxis	conj	7
root	acl:relcl	7
root	xcomp	7
fixed	nsubj	7
iobj	nsubj	7
nsubj	det	7
xcomp	advmod	7
mark	obl	7
acl	advcl	7
advcl	advmod	7
acl:relcl	advcl	7
advcl	nsubj	7
nsubj	conj	6
appos	conj	6
advcl:relcl	root	6
advcl	xcomp	6
obl	parataxis	6
obl	root	6
parataxis	advcl	6
advcl	obj	6
conj	root	6
dislocated	obj	6
xcomp	advcl	6
conj	acl:relcl	6
ccomp	acl:relcl	6
discourse	conj	5
xcomp	nsubj	5
det	obj	5
appos	parataxis	5
nmod	conj	5
amod	ccomp	5
nsubj	parataxis	5
nsubj	vocative	5
acl:relcl	obj	5
acl	root	5
obl	advmod	5
root	ccomp	5
aux	cop	5
root	conj	5
obl	case	5
obj	parataxis	4
dislocated	root	4
fixed	advmod	4
