gold_deprel	pred_deprel	count
nsubj	obj	18
obj	nsubj	15
root	parataxis	13
ccomp	parataxis	9
nmod	obl	6
nmod:poss	obj	6
conj	parataxis	6
advcl	root	6
xcomp	parataxis	5
nsubj	nmod:poss	5
parataxis	xcomp	4
nmod:poss	nsubj	4
ccomp	root	4
obj	nmod:poss	4
obl	obj	4
iobj	obl	4
xcomp	ccomp	4
advcl	ccomp	4
vocative	obj	4
root	advcl	3
ccomp	advmod	3
acl:relcl	root	3
nsubj	root	3
root	advmod	3
advcl	parataxis	3
parataxis	ccomp	3
ccomp	advcl	3
advcl:relcl	root	3
root	nsubj	3
parataxis	advmod	3
amod	root	3
obl	nsubj	2
vocative	nsubj	2
expl	nsubj	2
xcomp	advcl	2
nsubj	fixed	2
nsubj	expl	2
nsubj	ccomp	2
parataxis	nsubj	2
xcomp	obj	2
obj	det	2
acl	advcl	2
ccomp	obl	2
acl:relcl	parataxis	2
ccomp	xcomp	2
conj	nsubj	2
cop	aux	2
ccomp	nsubj	2
acl:relcl	obj	2
dislocated	nsubj	2
reparandum	obj	1
advmod	root	1
advmod	acl:relcl	1
advmod	ccomp	1
root	amod	1
root	conj	1
parataxis	root	1
advmod	advcl	1
root	obj	1
advmod	parataxis	1
dislocated	parataxis	1
root	vocative	1
advcl	obl	1
amod	parataxis	1
advcl	nsubj	1
vocative	root	1
advcl	advmod	1
xcomp	advmod	1
xcomp	conj	1
xcomp	nsubj	1
acl:relcl	nmod:poss	1
parataxis	obj	1
parataxis	amod	1
parataxis	conj	1
nummod	obl	1
iobj	obj	1
nmod	advmod	1
nmod	obj	1
acl	ccomp	1
csubj	advmod	1
nsubj	appos	1
conj	discourse	1
conj	det	1
conj	advcl	1
ccomp	discourse	1
appos	conj	1
case	mark	1
obj	obl	1
obl	case	1
obl	ccomp	1
obl	iobj	1
aux	cop	1
appos	parataxis	1
appos	nsubj	1
fixed	punct	1
xcomp	root	1
