pair	gold_file	pred_file	sent_id	token_id	form	gold_head	pred_head	gold_deprel	pred_deprel
fold-1	test-1.conllu	test-1.out.conllu	MooreFP1994:1:4:31	4	ayuíri	3	3	ccomp	xcomp
fold-1	test-1.conllu	test-1.out.conllu	Navarro2016:0:0:30	1	Igara	2	0	nsubj	root
fold-1	test-1.conllu	test-1.out.conllu	Navarro2016:0:0:30	2	pisasú	0	1	root	amod
fold-1	test-1.conllu	test-1.out.conllu	Navarro2016:0:0:85	1	Mayé	3	5	det	advmod
fold-1	test-1.conllu	test-1.out.conllu	Navarro2016:0:0:85	2	waá	1	3	fixed	nmod:poss
fold-1	test-1.conllu	test-1.out.conllu	Navarro2016:0:0:142	3	nhaã	4	2	det	obj
fold-1	test-1.conllu	test-1.out.conllu	Navarro2016:0:0:200	3	Paulo	2	2	flat	nmod
fold-1	test-1.conllu	test-1.out.conllu	Avila2021:0:0:8	3	yandé	2	2	obj	nsubj
fold-1	test-1.conllu	test-1.out.conllu	Avila2021:3:1:12	10	aité	12	12	nsubj	det
fold-1	test-1.conllu	test-1.out.conllu	Avila2021:3:1:12	12	kana	3	3	parataxis	appos
fold-1	test-1.conllu	test-1.out.conllu	Avila2021:0:0:14	8	rã	7	7	fixed	case
fold-1	test-1.conllu	test-1.out.conllu	Avila2021:0:0:21	4	yawara	2	6	obj	nmod:poss
fold-1	test-1.conllu	test-1.out.conllu	Avila2021:0:0:21	6	rupiára	4	2	nmod	obj
fold-1	test-1.conllu	test-1.out.conllu	Avila2021:0:0:44	9	mamé	6	6	ccomp	advmod
fold-1	test-1.conllu	test-1.out.conllu	Avila2021:0:0:44	12	ruka	9	6	nsubj	obj
fold-1	test-1.conllu	test-1.out.conllu	Avila2021:9:1:58	3	apekatú	1	1	ccomp	advmod
fold-1	test-1.conllu	test-1.out.conllu	Avila2021:9:1:58	4	uikú	3	1	cop	aux
fold-1	test-1.conllu	test-1.out.conllu	Avila2021:0:0:77	13	mira-itá	11	11	iobj	obl
fold-1	test-1.conllu	test-1.out.conllu	Avila2021:0:0:92	14	usasá	5	2	advcl	parataxis
fold-1	test-1.conllu	test-1.out.conllu	Avila2021:0:0:98	2	waá	1	1	fixed	nsubj
fold-1	test-1.conllu	test-1.out.conllu	Avila2021:0:0:98	5	umaramunha	9	0	advcl	root
fold-1	test-1.conllu	test-1.out.conllu	Avila2021:0:0:98	9	usuú	0	5	root	parataxis
fold-1	test-1.conllu	test-1.out.conllu	Avila2021:0:0:98	20	pitunawasú	19	19	xcomp	obj
fold-1	test-1.conllu	test-1.out.conllu	Avila2021:0:0:98	23	iké	19	24	advmod	nmod:poss
fold-1	test-1.conllu	test-1.out.conllu	Avila2021:0:0:98	29	yamaã	19	19	advcl	parataxis
fold-1	test-1.conllu	test-1.out.conllu	Avila2021:0:0:104	2	ambeú	12	0	advcl	root
fold-1	test-1.conllu	test-1.out.conllu	Avila2021:0:0:104	4	indé	2	2	obl	iobj
fold-1	test-1.conllu	test-1.out.conllu	Avila2021:0:0:104	12	umendari	0	2	root	parataxis
fold-1	test-1.conllu	test-1.out.conllu	Avila2021:0:0:104	14	nhaã	12	12	obl	obj
