sent_id	token_id	form	gold_head	pred_head	gold_deprel	pred_deprel
MooreFP1994:0:0:16	3	manha	1	1	iobj	obj
MooreFP1994:0:0:16	4	upitá	1	1	ccomp	advcl
MooreFP1994:0:0:16	10	ratiwa	11	4	nsubj	obj
MooreFP1994:0:0:27	4	mbira-itá	5	1	nsubj	obj
MooreFP1994:1:2:29	2	akayú	3	6	reparandum	obj
Alencar2021:0:0:46	1	Igara	2	3	nmod:poss	nsubj
Alencar2021:0:0:46	2	paranã	3	3	nsubj	nmod:poss
Navarro2016:1:7:7	1	Puranga	2	0	amod	root
Navarro2016:1:7:7	2	pituna	0	1	root	nsubj
Navarro2016:1:13:13	1	Puranga	2	0	amod	root
Navarro2016:1:13:13	2	karuka	0	1	root	nsubj
Navarro2016:0:0:89	1	Uka-itá	2	0	nsubj	root
Navarro2016:0:0:89	2	mirĩ	0	1	root	amod
Navarro2016:3:5:94	6	mimbira	2	2	iobj	obl
Navarro2016:4:9:176	4	suka	3	2	nmod	obl
Navarro2016:4:9:176	6	sukwera	8	2	nsubj	obj
Navarro2016:4:9:176	7	waá	6	8	nmod:poss	nsubj
Avila2021:0:0:19	7	urikú	5	2	acl:relcl	parataxis
Avila2021:0:0:19	11	usikari	10	7	acl	advcl
Avila2021:0:0:19	13	ukwá	11	11	xcomp	conj
Avila2021:0:0:95	12	apinaitika	10	10	xcomp	parataxis
Avila2021:0:0:103	5	iké	8	8	advcl	advmod
Avila2021:0:0:133	16	aintá	15	14	nmod	obl
Avila2021:0:0:143	12	anama	9	9	nsubj	obj
Avila2021:0:0:161	5	uyenú	3	0	advcl:relcl	root
Avila2021:0:0:161	8	usendú	0	5	root	parataxis
Avila2021:0:0:186	6	umusarái	10	0	advcl	root
Avila2021:0:0:186	10	remutatatinga	0	6	root	parataxis
Avila2021:0:0:186	16	itá	14	14	xcomp	obj
Avila2021:0:0:213	16	waá-itá	15	15	nsubj	obj
Avila2021:0:0:213	26	puranga	23	23	ccomp	advcl
Avila2021:0:0:238	7	rasusara	3	1	appos	parataxis
Avila2021:0:0:244	3	apigá	5	5	advcl	nsubj
Avila2021:0:0:244	5	uwatá	0	11	root	advcl
Avila2021:0:0:244	9	até	10	11	case	mark
Avila2021:0:0:244	11	umpuruã	10	0	advcl:relcl	root
Avila2021:0:0:285	3	yakaré	2	4	obj	nsubj
